Name,Age,Club,Nationality,Position,Appearances,Assist,Distance / 90 minutes,Goals,Conceded,Interception,Key Passes,Pass Attempt / 90 minutes,Pass Completed / 90 minutes,Shots on Target,Shots,Tackle Attempt,Tackle Won,Shutouts,Performance
Toño,30,Granada,ESP,Defender,29,5,4.8,0,0,85,9,25.37,19.82,0,2,120,86,0,Bad
Alejandro Arribas,30,Deportivo,ESP,Defender,29,1,4.5,2,0,116,5,20.03,16.14,2,7,152,127,0,Normal
James McCarthy,29,Everton,IRL,Midfielder,18,0,7.2,0,0,151,19,45,36.12,1,3,134,112,0,Normal
Javi Jiménez,32,Elche,ESP,Goalkeeper,29,0,1.5,0,50,0,0,14.86,6.03,0,0,0,0,7,Normal
Bernardo Silva,25,Man City,POR,Midfielder,28,1,8.5,1,0,43,82,61.11,44.94,21,45,51,32,0,Good
Fabio Borini,28,Sunderland,ITA,Midfielder,33,4,7.3,12,0,27,105,32.92,25.44,43,115,81,48,0,Good
Marcos Llorente,25,Espanyol,ESP,Midfielder,28,6,4.7,1,0,74,23,41.16,34.23,4,17,109,72,0,Normal
Pape Cheikh,22,Celta,ESP,Midfielder,11,0,5.3,0,0,9,0,41.91,34.24,4,7,33,21,0,Bad
Sergio Rico,26,Málaga,ESP,Goalkeeper,31,0,1.4,0,36,0,0,19.06,8.95,0,0,2,1,8,Normal
Anaitz Arbilla,32,Espanyol,ESP,Defender,10,0,4.5,0,0,12,0,25.22,17.96,0,2,32,23,0,Bad
Zé Gomes,20,Man Utd,POR,Striker,16,1,7.1,15,0,3,38,29.46,23.89,33,57,21,8,0,Good
Kiko Casilla,33,Watford,ESP,Goalkeeper,27,0,2.8,0,36,0,0,29.01,18,0,0,1,1,6,Normal
Florian Thauvin,27,Middlesbrough,FRA,Midfielder,28,5,8.6,0,0,78,67,40.26,27.12,7,18,91,61,0,Good
Lee Seung-Woo,22,Girondins de Bordeaux,KOR,Midfielder,7,3,4.9,1,0,6,5,25.46,12.55,3,9,4,3,0,Normal
Bruno César,31,Espanyol,BRA,Midfielder,13,0,4.2,1,0,5,4,37.57,22.71,3,8,20,9,0,Bad
Joseba Beitia,29,Albacete,ESP,Midfielder,3,0,0,0,0,2,0,0,0,2,2,4,2,0,-
Ioannis Fetfatzidis,29,R. Betis,GRE,Midfielder,16,0,5.0,0,0,9,10,40.55,25.13,5,10,27,11,0,Normal
James Tarkowski,27,Sunderland,ENG,Defender,1,0,5.7,0,0,26,0,47,25,0,1,8,5,0,-
Marko Grujic,23,Liverpool,SRB,Midfielder,22,2,8.2,3,0,173,51,66.54,46.92,11,29,97,70,0,Good
Diego Costa,31,Everton,ESP,Midfielder,35,2,7.1,11,0,28,64,30.22,21.86,41,93,66,21,0,Normal
Alain Oyarzun,26,Rayo,ESP,Midfielder,27,7,4.3,0,0,20,7,24.09,17.82,2,9,29,10,0,Normal
Juan Carlos,32,Albacete,ESP,Goalkeeper,22,0,1.5,0,42,0,0,19.23,9.41,0,0,0,0,2,Bad
Lucas Porcar,30,Espanyol,ESP,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Ulisses Garcia,24,Liverpool,POR,Defender,8,0,7.7,0,0,76,17,48.98,36.59,1,1,51,37,0,Good
Léo Bonatini,25,Getafe,BRA,Striker,26,2,4.4,12,0,20,7,22,15.43,26,61,16,5,0,Good
Íñigo Núñez,20,Athletic,ESP,Midfielder,5,0,4.5,1,0,2,0,33.16,18.95,1,4,5,2,0,Bad
Liam Moore,27,Sunderland,JAM,Defender,6,0,6.3,0,0,43,1,38.97,19.59,0,0,16,14,0,Good
Mirko Pigliacelli,26,Levante,ITA,Goalkeeper,9,0,1.8,0,13,0,0,17.67,8,0,0,0,0,1,Bad
Lukas Spendlhofer,26,Stoke,AUT,Defender,21,1,6.9,0,0,162,10,44.01,32.81,0,6,76,68,0,Good
Clifford Aboagye,25,Granada,GHA,Midfielder,30,12,4.8,1,0,54,26,40.3,26.14,10,38,30,12,0,Normal
Andrea Poli,30,Sunderland,ITA,Midfielder,27,2,8.0,0,0,135,45,52.04,42.38,8,14,114,89,0,Normal
Carlos Abad,24,Valencia,ESP,Goalkeeper,41,0,1.6,0,44,0,0,14.15,5.65,0,0,2,1,12,Normal
Fede,22,West Ham,ESP,Midfielder,2,0,6.0,0,0,3,0,28.9,21.47,0,0,8,7,0,-
Samu,25,Elche,ESP,Defender,29,3,4.4,1,0,35,9,23.06,15.85,4,22,60,32,0,Bad
Álex Remiro,24,Athletic,ESP,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jessy Pi,26,Brighton,FRA,Midfielder,29,3,8.0,0,0,147,68,51.85,40.96,3,17,134,99,0,Good
Vlad Chiriches,30,Watford,ROU,Defender,10,1,6.3,0,0,86,1,35.44,26.09,0,1,35,28,0,Good
José Miguel Jiménez,20,Almería,ESP,Midfielder,3,0,4.6,0,0,2,0,27.54,18.69,5,5,3,1,0,-
Vitolo,30,Sevilla,ESP,Midfielder,28,10,5.1,9,0,23,20,31.89,18.77,27,51,27,13,0,Normal
Tana,29,Córdoba,ESP,Midfielder,4,0,3.9,1,0,2,1,26.85,13.06,1,1,6,3,0,-
Ahmed Elmohamady,32,Brighton,EGY,Defender,21,3,8.7,0,0,79,41,39.66,25.72,6,15,76,50,0,Normal
Kyriakos Papadopoulos,28,Málaga,GRE,Defender,4,0,5.1,0,0,4,0,18.23,13.1,1,1,14,11,0,-
Callum Gribbin,21,Man Utd,ENG,Midfielder,16,5,7.8,2,0,46,115,73.04,58.29,10,28,58,37,0,Good
Jaume Costa,31,Villarreal,ESP,Defender,27,1,5.3,0,0,67,7,26.69,20.62,0,2,114,90,0,Bad
Odion Ighalo,30,Sunderland,NGA,Midfielder,17,2,6.6,1,0,4,24,32.97,22.76,15,23,16,5,0,Normal
Jan Vertonghen,32,Tottenham,BEL,Defender,2,0,5.7,0,0,18,0,34.29,28.29,0,0,10,7,0,-
Fabián Orellana,34,Celta,CHI,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Antonio Luna,28,Deportivo,ESP,Defender,27,3,5.0,0,0,49,4,27.54,17.27,1,6,105,81,0,Bad
James McArthur,32,Crystal Palace,SCO,Midfielder,13,1,8.2,1,0,17,11,60.21,50.43,2,5,18,14,0,Normal
Markus Henriksen,27,Leicester,NOR,Midfielder,15,0,7.5,0,0,65,10,58.44,45.84,2,7,26,21,0,Normal
Rodri,29,Rayo,ESP,Midfielder,26,2,5.0,8,0,20,2,22.89,16.64,27,54,30,9,0,Bad
Youssef El Arabi,33,Granada,MAR,Midfielder,28,2,4.4,10,0,25,13,23.04,12.93,35,87,7,2,0,Normal
Tonny Sanabria,24,Liverpool,PAR,Midfielder,14,2,7.1,9,0,10,35,27.24,19.25,22,30,24,8,0,Good
Vukasin Jovanovic,23,R. Madrid,SRB,Defender,5,0,4.4,0,0,10,0,24.23,20.19,0,1,22,19,0,Bad
Gian Filippo Felicioli,22,Crystal Palace,ITA,Defender,12,3,7.7,1,0,14,18,36.79,25.13,4,10,14,9,0,Bad
Callum Wilson,28,Crystal Palace,ENG,Striker,21,2,7.2,7,0,6,53,28.72,20.92,20,44,32,14,0,Good
Fidel,30,Córdoba,ESP,Midfielder,29,7,4.3,4,0,25,21,27.11,15.6,16,43,15,6,0,Normal
Ravel Morrison,27,Brentford,ENG,Midfielder,13,1,7.7,0,0,27,36,56.79,40.97,2,5,24,12,0,Good
Björn Engels,25,Southampton,BEL,Defender,1,0,0,0,0,3,0,0,0,0,0,2,1,0,-
Lewis Baker,24,Brentford,ENG,Midfielder,32,0,8.0,4,0,188,105,64.99,47.94,11,23,189,126,0,Good
Matías Campos Toro,30,Córdoba,CHI,Defender,1,0,0,0,0,1,0,0,0,0,0,2,1,0,-
Yannick Ferreira Carrasco,26,Tottenham,BEL,Midfielder,3,0,8.6,2,0,2,7,51,39.75,4,8,8,3,0,-
Rafa Castillo,19,Levante,ESP,Striker,22,1,4.6,7,0,26,3,22.49,13.06,35,65,24,8,0,Normal
Son Heung-Min,27,Everton,KOR,Midfielder,27,2,7.9,6,0,45,55,37.74,25.78,23,50,61,36,0,Normal
Ben Marshall,28,Middlesbrough,ENG,Defender,26,5,8.6,2,0,75,55,50.15,26.74,9,42,65,49,0,Bad
Martín Montoya,28,FC Barcelona,ESP,Defender,40,2,5.6,0,0,151,44,34.42,27.67,2,24,176,138,0,Normal
Francisco Varela,25,Leicester,ESP,Defender,28,2,7.7,0,0,248,50,56.36,44.11,4,12,176,127,0,Good
Jurgi Oteo,23,Athletic,ESP,Midfielder,6,0,4.3,0,0,3,0,22.97,11.25,0,1,12,6,0,Bad
Fernando Llorente,35,Sevilla,ESP,Midfielder,11,0,4.9,1,0,5,0,35.77,23.85,6,18,11,6,0,Bad
Sergio Canales,29,Celta,ESP,Midfielder,24,5,4.0,6,0,40,13,49.89,31.76,14,39,35,21,0,Normal
Giannelli Imbula,27,Stoke,COD,Midfielder,30,1,8.2,1,0,158,42,60.74,46.75,9,30,134,113,0,Normal
Jorginho,20,R. Betis,BRA,Defender,34,1,4.9,0,0,28,7,41.88,31.76,0,0,118,90,0,Bad
João Filipe,20,Espanyol,POR,Midfielder,6,0,4.7,2,0,6,3,32.52,18.22,4,12,9,4,0,Normal
Jefferson Ríos,20,Córdoba,ESP,Midfielder,11,0,4.4,2,0,24,4,56.78,40.41,5,11,10,6,0,Normal
Phil Jones,28,Leicester,ENG,Defender,25,2,6.8,0,0,344,19,54.94,41.77,0,7,137,120,0,Good
Jordan Rhodes,30,Brentford,SCO,Striker,12,0,6.4,0,0,2,10,27.61,18.4,5,11,3,1,0,Bad
Jonathan Silva,25,Atlético,ARG,Defender,24,3,5.1,0,0,86,13,30.7,24.66,0,3,107,85,0,Normal
Jorge Fernandes,22,Everton,POR,Defender,22,1,6.0,1,0,250,4,33.79,23.12,2,6,87,79,0,Good
Sergio Busquets,31,FC Barcelona,ESP,Defender,39,6,5.6,3,0,206,40,46.38,40.07,13,36,221,162,0,Good
Ander Bardají,24,R. Sociedad,ESP,Goalkeeper,1,0,0.7,0,3,0,0,15,6,0,0,0,0,0,-
Ben Chilwell,23,Leicester,ENG,Defender,10,0,7.2,0,0,60,9,49.6,34.28,0,1,25,17,0,Normal
Cristian Tello,28,Valencia,ESP,Midfielder,15,1,4.8,2,0,9,2,25.64,13.84,9,19,14,6,0,Bad
Hiram Boateng,24,Middlesbrough,GHA,Midfielder,31,2,8.1,2,0,216,54,61.16,44.55,3,15,117,90,0,Normal
Mario Götze,27,Newcastle,GER,Midfielder,36,1,7.7,6,0,61,122,47.97,37.37,20,58,114,66,0,Good
Scott Dann,33,Crystal Palace,ENG,Defender,27,0,6.2,0,0,219,4,41.71,33.2,1,6,71,68,0,Good
Steve Cook,28,Swansea,ENG,Defender,18,0,6.3,0,0,201,2,48.14,33.98,1,4,57,53,0,Good
Samu,26,Albacete,ESP,Midfielder,22,2,4.2,2,0,13,5,25.59,13.93,4,14,48,30,0,Bad
Bébé,29,Bologna,POR,Midfielder,1,0,4.7,0,0,1,0,19,9,0,0,0,0,0,-
Jimmy Durmaz,30,Getafe,SWE,Midfielder,7,0,4.3,2,0,5,2,27.25,14.74,5,11,4,2,0,Bad
Valentin Vada,23,Leicester,ARG,Midfielder,22,7,8.2,4,0,36,139,62.89,45.19,19,34,44,29,0,Good
Lucas,24,Man Utd,FRA,Defender,11,0,6.0,1,0,98,5,40.91,31.73,4,9,40,32,0,Good
Gabriel Seijas,25,Rayo,ARG,Midfielder,29,8,4.7,3,0,50,11,23.34,16.56,6,15,46,22,0,Normal
Timo Werner,23,FC Barcelona,GER,Midfielder,28,1,5.0,4,0,16,0,25.98,17.32,20,43,31,12,0,Bad
Mitchell Weiser,25,Celta,GER,Defender,31,3,4.4,2,0,22,5,28.47,16.44,4,15,64,45,0,Bad
Christian Eriksen,28,Tottenham,DEN,Midfielder,36,2,8.4,4,0,77,180,61.53,46.15,25,50,100,58,0,Good
Andrija Vukcevic,23,Sevilla,MNE,Defender,19,2,4.5,0,0,28,4,21.48,14.68,1,7,63,50,0,Bad
Azarías Molina,22,Málaga,ARG,Striker,4,0,5.5,1,0,1,0,27.61,15.34,6,9,7,3,0,-
Patrick Roberts,23,Man City,ENG,Midfielder,8,0,8.5,2,0,3,14,48.89,35.6,6,16,15,3,0,Normal
Anders Konradsen,29,Getafe,NOR,Midfielder,26,4,5.5,2,0,19,9,33.5,20.43,8,22,78,46,0,Normal
Harlee Dean,28,Brentford,ENG,Defender,33,0,6.1,1,0,419,2,34.1,20.58,2,13,150,124,0,Good
Bart Ramselaar,23,Aston Villa,NED,Midfielder,28,2,8.4,1,0,61,61,51.99,41.97,5,23,66,43,0,Good
Álvaro Traver,26,Córdoba,ESP,Midfielder,1,0,4.1,0,0,1,1,24.55,14.03,0,0,0,0,0,-
Koke,28,Atlético,ESP,Midfielder,38,9,5.9,5,0,122,23,50.83,42.17,18,51,161,109,0,Normal
Cala,30,Getafe,ESP,Defender,4,0,0,0,0,2,0,0,0,0,0,6,5,0,-
Daniel Iversen,22,Leicester,DEN,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jesús Rueda,33,Elche,ESP,Defender,6,0,4.8,0,0,25,1,22.17,18.83,0,0,32,27,0,Good
Francisco Javier Ponsí,20,Real Unión,ESP,Midfielder,11,0,4.2,5,0,8,1,37.61,19.89,16,25,7,3,0,Bad
Moussa Konaté,26,Granada,SEN,Midfielder,30,0,4.5,10,0,20,1,22.11,11.82,33,71,23,8,0,Bad
Miullen,21,Córdoba,BRA,Striker,24,0,4.3,5,0,14,0,24.23,13.63,21,38,22,7,0,Normal
Ki Sung-Yeung,31,Espanyol,KOR,Midfielder,16,2,4.6,2,0,26,6,41.88,34.22,4,6,57,40,0,Normal
Andreas Samaris,30,Sevilla,GRE,Midfielder,27,0,5.3,4,0,39,3,29.51,23.14,11,30,108,64,0,Bad
Raphaël Varane,26,R. Madrid,FRA,Defender,39,2,4.9,2,0,248,9,30.92,26.17,3,13,180,165,0,Good
Thomas Vermaelen,34,FC Barcelona,BEL,Defender,3,0,4.7,0,0,7,0,22.5,18.1,0,0,10,7,0,-
Virgil van Dijk,28,Southampton,NED,Defender,31,0,5.8,2,0,348,5,39.77,29.09,5,20,144,123,0,Good
Rodrigo Ely,26,Newcastle,BRA,Defender,35,1,6.3,0,0,393,3,46.07,33.68,3,7,120,102,0,Good
Salvador Ichazo,28,Granada,URU,Goalkeeper,6,0,1.6,0,11,0,0,19.78,8.7,0,0,3,3,1,Bad
Mario Pasalic,25,Chelsea,CRO,Midfielder,41,1,7.9,3,0,192,67,57.98,47.75,15,55,178,147,0,Normal
Semih Kaya,29,Levante,TUR,Defender,13,1,4.1,0,0,37,1,18.72,14,0,3,58,48,0,Bad
Mandi,31,Elche,ESP,Defender,11,0,5.3,0,0,20,1,27.77,18.18,0,4,36,21,0,Bad
Lorenzo Reyes,28,R. Betis,CHI,Midfielder,38,5,5.6,2,0,70,15,33.87,26.57,10,27,168,108,0,Normal
Philipp Wollscheid,30,Leicester,GER,Defender,14,0,6.1,0,0,120,2,44.05,33.71,0,4,33,30,0,Good
Kurt Zouma,25,Chelsea,FRA,Defender,37,0,6.7,4,0,557,9,49.8,35.47,14,37,196,167,0,Good
Erik Lamela,28,Tottenham,ARG,Midfielder,12,0,8.4,2,0,11,24,45.42,33.94,6,14,18,15,0,Normal
Julian Brandt,23,Man City,GER,Midfielder,4,0,8.4,1,0,11,15,50.55,34.52,1,4,14,11,0,-
Kevin De Bruyne,28,Man City,BEL,Midfielder,38,11,8.4,2,0,80,213,70.08,51.85,18,42,137,78,0,Good
Alen Djurdjek,22,FC Barcelona,CRO,Midfielder,18,3,5.2,5,0,17,9,37,22.42,8,10,27,16,0,Normal
Roberto Firmino,28,Liverpool,BRA,Midfielder,24,5,8.3,3,0,49,111,50.98,39.3,22,42,79,43,0,Good
Iñaki Zabalza,19,Athletic,ESP,Defender,3,0,4.7,0,0,9,1,19.33,13,0,0,14,12,0,-
Victor Kovalenko,24,Man City,UKR,Midfielder,2,0,8.5,0,0,3,3,72.81,55.62,1,2,6,4,0,-
Bernard Mensah,25,Atlético,GHA,Midfielder,3,0,5.2,2,0,3,1,27.33,16.33,3,5,1,0,0,-
Danilo,28,R. Madrid,BRA,Defender,35,5,6.1,1,0,103,60,39.73,28.61,4,19,152,127,0,Bad
Moi Gómez,25,Southampton,ESP,Midfielder,23,4,7.7,1,0,30,54,50.14,38.07,5,12,37,28,0,Good
Gedion Zelalem,23,Stoke,USA,Midfielder,14,0,8.0,1,0,69,30,61.49,43,5,14,54,39,0,Normal
Ludwig Augustinsson,25,Crystal Palace,SWE,Defender,30,3,7.7,2,0,272,40,47.16,35.23,3,10,226,176,0,Good
Jeffrey Bruma,28,Levante,NED,Defender,22,0,4.3,0,0,68,2,21.43,14.16,0,11,84,64,0,Normal
Koen Casteels,27,Sunderland,BEL,Goalkeeper,37,0,2.8,0,37,5,1,27.16,9.03,0,0,0,0,13,Normal
Fábio Cardoso,25,Sevilla,POR,Defender,12,0,4.2,0,0,33,0,22.41,18.96,1,7,44,38,0,Bad
Molla Wague,29,Granada,MLI,Defender,12,0,4.4,0,0,24,0,20.5,15.21,1,5,26,22,0,Bad
Alfred N'Diaye,29,Watford,SEN,Midfielder,1,0,0,0,0,0,2,0,0,0,0,4,2,0,-
Enzo Roco,27,Espanyol,CHI,Defender,29,2,4.6,1,0,72,10,19.79,15.07,3,17,145,119,0,Bad
Breno,24,Getafe,BRA,Defender,1,0,4.5,0,0,1,0,20,14,0,0,5,3,0,-
Charlie Taylor,26,Brentford,ENG,Defender,30,0,7.3,1,0,310,32,47.56,31.67,2,4,273,222,0,Good
Tommie Hoban,26,Watford,IRL,Defender,21,0,6.1,0,0,222,1,34.71,24.83,0,4,76,67,0,Good
Iosu Ibarbia,24,Elche,ESP,Defender,12,0,4.7,0,0,24,0,26.86,19.71,0,1,48,36,0,Bad
Gabriel Barbosa,23,Tottenham,BRA,Midfielder,35,4,8.0,8,0,16,62,35.75,27.26,30,56,25,15,0,Normal
César Azpilicueta,30,Chelsea,ESP,Defender,38,4,8.0,1,0,329,87,58.83,38.61,6,24,268,218,0,Good
Juanfran,35,Levante,ESP,Defender,24,4,4.9,0,0,67,10,30.29,24.22,3,12,93,72,0,Bad
Dani Villanueva,22,Villarreal,ESP,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Bastos,28,Southampton,ANG,Defender,23,0,5.8,0,0,268,3,39.69,28.83,3,12,88,77,0,Good
Pol Ballesté,24,Málaga,ESP,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Rafinha,27,FC Barcelona,BRA,Midfielder,32,6,5.7,10,0,58,24,45.8,31.2,29,73,61,41,0,Normal
Juanmi,26,Southampton,ESP,Midfielder,21,2,8.0,2,0,18,49,31.97,24.92,19,32,20,15,0,Good
Asier Riesgo,36,Albacete,ESP,Goalkeeper,6,0,1.7,0,12,0,0,17.5,8.17,0,0,0,0,0,Bad
Jandro,29,Córdoba,ESP,Midfielder,26,4,4.2,4,0,15,6,36.54,20.71,8,24,27,8,0,Bad
Hakan Çalhanoglu,26,Chelsea,TUR,Midfielder,27,1,8.2,3,0,35,67,56.9,40.98,14,26,36,21,0,Good
Adam Cockbill,18,Brighton,ENG,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Javier Ontiveros,22,FC Barcelona,ESP,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Rubén Blanco,24,Middlesbrough,ESP,Goalkeeper,30,0,2.9,0,47,3,2,28.45,9.1,0,0,0,0,4,Bad
José Ricardo,21,Rayo,BRA,Defender,5,0,4.2,0,0,2,0,40.74,30.32,0,1,8,4,0,Bad
Carlos Acosta,19,Rayo,URU,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Sergi Darder,26,Man City,ESP,Midfielder,23,0,7.9,1,0,101,50,62.45,53.86,12,43,86,66,0,Good
Javi Gómez,22,Rayo,ESP,Defender,20,0,4.4,0,0,71,0,20.15,15.89,1,5,84,64,0,Normal
Manuel da Costa,33,Getafe,MAR,Defender,1,0,0,0,0,0,0,0,0,0,0,2,2,0,-
Zach Clough,24,Stoke,ENG,Midfielder,10,2,6.9,2,0,3,21,31.07,22.32,6,17,13,4,0,Good
Marjan Shved,22,Sevilla,UKR,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Georginio Wijnaldum,29,Newcastle,NED,Midfielder,25,1,8.4,2,0,26,47,51.11,39,7,13,40,29,0,Normal
Riechedly Bazoer,23,R. Madrid,NED,Defender,35,4,5.9,5,0,119,43,43.78,36.58,17,44,154,113,0,Normal
Mohamed Salah,27,Valencia,EGY,Midfielder,5,0,4.9,2,0,7,8,29.66,18.92,8,13,6,2,0,Normal
Luis Suárez,33,FC Barcelona,URU,Midfielder,42,13,5.8,29,0,72,43,39.39,24.44,80,160,29,13,0,Normal
Mile Svilar,20,Swansea,BEL,Goalkeeper,25,0,2.9,0,32,0,0,31.76,23.2,0,0,1,1,6,Normal
Santi Cazorla,35,Arsenal,ESP,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Xiker,23,Athletic,ESP,Defender,21,0,4.4,0,0,86,1,18.79,14.22,1,4,95,78,0,Good
Mohammed Elyounoussi,25,Watford,NOR,Midfielder,22,5,8.2,1,0,48,39,46.97,31.43,7,16,62,38,0,Normal
Shane Duffy,28,Swansea,IRL,Defender,4,0,6.4,0,0,57,1,46.18,29.65,1,3,11,7,0,-
Izunna Uzochukwu,29,Deportivo,ZIM,Defender,15,1,5.7,0,0,26,3,23.5,17.34,2,7,47,33,0,Bad
André Moreira,24,Atlético,POR,Goalkeeper,3,0,1.6,0,4,0,0,19,8,0,0,0,0,0,-
Fraser Forster,31,Southampton,ENG,Goalkeeper,36,0,2.5,0,29,0,0,25.98,19.38,0,0,0,0,18,Good
Danny Wilson,28,Brentford,SCO,Defender,5,0,5.7,0,0,34,0,35.76,27.72,0,1,19,16,0,Good
Lucas Orbán,31,Stoke,ARG,Defender,12,1,7.2,0,0,80,12,37.5,25.95,0,0,81,65,0,Good
Ricardo,19,Rayo,ESP,Defender,1,0,0,0,0,0,0,0,0,0,0,2,1,0,-
Jan Oblak,27,Atlético,SVN,Goalkeeper,37,0,1.9,0,40,1,2,18.73,10.3,0,0,0,0,10,Normal
André Ayew,30,Leicester,GHA,Midfielder,16,2,8.2,1,0,26,35,41.27,29.54,3,12,29,15,0,Good
Israel Puerto,26,Rayo,ESP,Defender,24,0,4.2,0,0,33,1,18.83,13.81,0,1,96,73,0,Bad
Luke Garbutt,26,Sunderland,ENG,Defender,1,0,7.3,0,0,5,3,37,18,0,0,2,1,0,-
Burgui,26,Levante,ESP,Midfielder,17,1,4.1,1,0,11,1,28.43,16.03,6,21,29,16,0,Bad
Jordan Ayew,28,Aston Villa,GHA,Midfielder,29,7,6.7,18,0,20,64,26.82,19.29,37,74,27,10,0,Good
Mario Balotelli,29,Southampton,ITA,Midfielder,4,0,7.1,3,0,8,11,45.66,34.49,5,13,2,1,0,-
Brendan Galloway,23,Everton,ENG,Defender,32,0,6.3,1,0,355,11,39.64,28.51,6,19,179,151,0,Good
Victor Wanyama,28,Southampton,KEN,Midfielder,20,0,7.0,1,0,74,19,46.21,34.89,10,26,86,68,0,Normal
Rui Pedro,21,Tottenham,POR,Striker,14,3,7.2,5,0,6,39,27.41,20.61,21,46,25,12,0,Good
Nathaniel Ofori,20,R. Sociedad,GHA,Defender,27,2,4.4,0,0,99,2,21.39,15.75,1,9,119,103,0,Normal
Iago Aspas,32,Celta,ESP,Midfielder,35,4,5.0,16,0,31,11,31.37,19.1,46,94,25,11,0,Normal
Nico Elvedi,23,Sunderland,SUI,Defender,31,1,6.1,2,0,385,9,32.04,19.85,4,15,95,81,0,Good
Vlad Dragomir,20,Levante,ROU,Midfielder,24,3,4.7,3,0,23,14,30.47,19.91,13,30,23,16,0,Normal
Jack Grealish,24,Aston Villa,ENG,Midfielder,22,3,7.3,5,0,18,40,44.76,32.12,16,33,27,14,0,Normal
Ivan Perisic,31,Stoke,CRO,Midfielder,5,0,8.6,0,0,13,5,46.63,29.38,0,5,10,9,0,Normal
Joe Rankin-Costello,20,Tottenham,ENG,Defender,6,0,7.9,0,0,22,20,92.6,70.39,3,6,20,14,0,Normal
Aziz Behich,29,Albacete,AUS,Defender,26,1,5.2,0,0,54,2,24.02,17.53,0,3,118,88,0,Bad
Denis Suárez,26,Newcastle,ESP,Midfielder,29,2,8.2,5,0,47,130,57.72,44.54,13,34,71,45,0,Good
Hugo Lloris,33,Tottenham,FRA,Goalkeeper,40,0,2.9,0,39,6,0,26.13,20.55,0,0,0,0,13,Normal
Gylfi Sigurðsson,30,Swansea,ISL,Midfielder,32,2,8.5,1,0,114,140,63.94,48.55,17,39,105,72,0,Good
Albert Adomah,32,Middlesbrough,GHA,Midfielder,2,0,5.6,0,0,1,3,21.63,11.86,0,0,0,0,0,-
Rafa Mir,22,Celta,ESP,Midfielder,15,0,5.0,3,0,12,7,24.97,14.2,13,22,17,10,0,Normal
Shani Tarashaj,25,Brentford,SUI,Midfielder,31,4,6.9,6,0,23,132,35.81,26.73,32,65,59,31,0,Good
Haris Seferovic,28,Middlesbrough,SUI,Striker,27,2,6.9,9,0,15,56,27.83,21.1,32,63,49,18,0,Normal
Simon Tibbling,25,Stoke,SWE,Midfielder,27,2,8.2,1,0,130,55,58.96,43.11,5,15,147,104,0,Normal
Álvaro Giménez,28,Elche,ESP,Midfielder,26,1,4.5,11,0,35,4,24.86,13.5,34,60,15,4,0,Bad
Carlos Vigaray,25,Getafe,ESP,Defender,14,1,4.4,2,0,25,4,20.18,14.21,4,8,52,38,0,Bad
Javi Espinosa,27,Crystal Palace,ESP,Midfielder,18,1,7.9,1,0,20,19,62.24,48.64,7,11,22,16,0,Normal
Anthony Knockaert,28,Brighton,FRA,Midfielder,29,6,8.5,3,0,52,65,47.9,32.07,11,25,54,35,0,Good
Quique,29,Elche,ESP,Midfielder,23,0,4.1,8,0,37,2,30.63,18.36,19,41,27,11,0,Bad
Aleix Febas,24,Granada,ESP,Midfielder,21,1,4.4,2,0,10,3,38.26,30.78,3,6,37,22,0,Bad
Sergio Agüero,31,Man City,ARG,Midfielder,17,3,7.5,10,0,6,68,38,28.64,46,90,39,15,0,Good
Ignacio Abeledo,24,R. Betis,ESP,Midfielder,18,8,4.7,3,0,25,20,27.44,19.21,14,22,18,10,0,Normal
Alejandro Llodrá,19,Iraklis,ESP,Striker,4,0,4.3,0,0,2,0,22.8,12,1,2,7,4,0,-
Ramiro García,20,Levante,ESP,Striker,8,0,4.4,1,0,5,0,22.38,14.42,9,16,7,2,0,Bad
Ciro Immobile,30,Swansea,ITA,Striker,1,0,4.8,1,0,1,0,18,12,1,3,0,0,0,-
Álvaro Negredo,34,Córdoba,ESP,Midfielder,16,0,3.6,3,0,18,0,38.27,24.37,12,26,18,9,0,Bad
Carl Jenkinson,28,Crystal Palace,ENG,Defender,13,1,7.8,0,0,53,8,52.36,36.31,0,1,29,22,0,Good
Filip Krovinovic,24,Villarreal,CRO,Midfielder,31,9,5.1,9,0,59,22,39.03,25,27,76,4,2,0,Normal
Michel Sablé,18,Villarreal,FRA,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Guido Carrillo,28,Southampton,ARG,Striker,14,1,6.5,2,0,13,17,34.21,24.93,11,27,10,2,0,Bad
Sídnei,30,Deportivo,BRA,Defender,27,3,4.4,0,0,112,5,20.89,17.3,4,17,129,107,0,Good
